"","score","text"
"1",1,"beautiful product naming name motto"
"2",-2,"huh title figured cumo dragged street shot sadly"
"3",0,"kick start day"
"4",2,"thank lalita dlf mall india exemplary service getting festive hamper"
"5",0,"dig little deeper tiana matcha "
"6",0,"check green white"
"7",0,"check black red"
"8",0,"global store sales shrunk fiscal"
"9",-1,"listen conquer anxiety grandpa jim"
"10",0," economics chart makes"
"11",-1,"listen conquer anxiety grandpa jim"
"12",0,"toffee nut crunch  peppermint mocha returns  items nov"
"13",2,"happy halloween celebrate finding pod"
"14",1,"share check items loving"
"15",0,"laos market asia store scheduled quarter"
"16",0,"fan recently tried project realized paying"
"17",1,"awesome themed"
"18",-1,"making fall guys polymer clay luna"
"19",0,""
"20",0,"tonight vibes"
"21",0,"check mermaid ceramic mug  siren logo green white"
"22",0,"check mermaid ceramic mug  siren logo green white via"
"23",0,"guess  launch"
"24",-1,"fictional character decided instead tea tea party yesterday"
"25",0,"many thanks bronzeville greektown sending angela hot apple cider harm hospi"
"26",-1,"god forbid inconvenienced able restrooms lobbies closed fyi"
"27",0,"sale dishwash"
"28",0,"responses article expecting return profit growth eve"
"29",0,"tree"
"30",0,"tree"
"31",0,"annual tree"
"32",1," arrived little bradley yall ready"
"33",5,"thank jenny green hall penang helpful friendly awesome appreciate assistance"
"34",0,"uhhhhhh barista informed bringing"
"35",0,"wait toffee nut frap available days"
"36",-1,"today standing trying fall apart whatever"
"37",0,"morning"
"38",1," arrived little bradley yall ready"
"39",0," guys life ruiners gingerbread  row justify keeping"
"40",1,"check gold zipper white ceramic tumbler double wall euc via"
"41",1,"arrived little bradley yall ready"
"42",0,"barista training tarbucks click surprise"
"43",1," favorite mine"
"44",0,"sale tall  rising"
"45",0,"ayo yall"
"46",0,""
"47",1,"share check items loving"
"48",1,"share check items loving"
"49",1,"feat"
"50",0,"sake lord day supply"
"51",0,"check apple mug teacher appreciation mint green via"
"52",0,"check black gold studded halloween cold  tumbler venti size"
"53",0,"check apple mug teacher appreciation mint green via"
"54",0,"check apple mug teacher appreciation mint green via"
"55",-1,"time night shift gonna night shifters hard looks"
"56",0,"check   pine trees mug via"
"57",-1,"different bit limited edition peppermint mocha"
"58",1,"can drive thru sydney please preferably near thanks"
"59",0," class book"
"60",0,"lucky blue ribbon restaurant especially gangster"
"61",1," win"
"62",0,"get book"
"63",-1," cause real panic biden close"
"64",1,"endorsed dowhatwedo artist gotsaa"
"65",1," superhero support card unique shirts styles colors"
"66",-1,"bring irish cream cold brew week sleep"
"67",0,"former"
"68",0,"former"
"69",1,"hot venti salted caramel mocha hands"
"70",0,"now tiktok head etsy folklore snow globe tumbler"
"71",0,"now tiktok head etsy folklore snow globe tumbler"
"72",0,"pls help access account access email address anymore tha"
"73",0,"extra whipped cream"
"74",0,"barista cream ratio"
"75",3,"read reddit night throw millions dollars worth perfectly fine food"
"76",0,"partner quarter thanks coworkers considering voting"
"77",0,""
"78",1,"even pups enjoy"
"79",0,"secret menu snickerdoodle frappuccino"
"80",0,""
"81",0,"experience potential salary increase"
"82",0,"dig little deeper tiana matcha "
"83",2,"time thank delicious"
"84",0,"tacos"
"85",0,"close doors month extend xmas"
"86",-1,"disappointed fairview mall location eight pumps chai tasted"
"87",1,"creamy cascades pumpkin goodness"
"88",1,"share check items loving"
"89",0,"ceo talks business"
"90",0,"somehow feet apart"
"91",1,"home pot lot love pot coffe"
"92",-1,"hello lady cold brew cocoa almond milk"
"93",1," fans check handmade necklaces"
"94",0,"getting brand image essential brand image methods reference start"
"95",0,"iced lattes donuts"
"96",-1,"usually extra cold heavy cream"
"97",-1,"line forever wait inside building"
"98",0,"dig little deeper tiana matcha "
"99",0,"honour deer"
"100",0,"honour deer"
"101",1,"share check items loving"
"102",0,"getting brand image essential brand image methods reference start"
"103",-1," occult world star trek don hear haunted world science fiction"
"104",0,"starting day pumpkin bread nature"
"105",0,"sis nailed"
"106",0,"alright craving combo vanilla bean frap java chips taste"
"107",3,"love love love soooo save turtles biodegradable"
"108",0,"one store meter resin siren wall decoration rare chance"
"109",-1,"believe science lips dirty lids"
"110",-1,"time night girls slept hard frappuccino"
"111",0,"congrats daphne choice gift card"
"112",0,"super bummed heard bringing panini sandwich wtf"
"113",1,"fans check handmade necklaces"
"114",0,"extra shot required taste"
"115",0,"relationship reloads app"
"116",0,"gulf fwy houston location morning line drive throu"
"117",0,"name jim joe jim june jim joan thanks"
"118",-1,"anyone else difficult time finding"
"119",1,"morning happy november"
"120",0,"stay unique"
"121",0,"abd ak_outlet line annywawony"
"122",0,"abd ak_outlet line annywawony"
"123",0,"chilling listening chilling music hashtag"
"124",0,"name jim joe jim june jim joan thanks shortly"
"125",0,"yesterdays run wear mask"
"126",-1,"gross"
"127",0,"sunday"
"128",-1,"dog child breakfast bowl forgetful"
"129",0,"fri october pdt sbux dnkn coronavirus era dunkin forced close hundr"
"130",0,"fri october pdt sbux dnkn coronavirus era dunkin forced"
"131",0,"sunday morning run girl"
"132",2,"offer exclusive usa receive worth answer easy questions enter competition"
"133",1,"stylish architecture"
"134",0,"scored human rights campaign buying workplace equality rating"
"135",1,"yes fun"
"136",0,"somehow feet apart"
"137",0,"scored human rights campaign buying workplace equality rating"
"138",0,"making visits"
"139",0,"eating kit kat breakfast soph starts throwing random clothes"
"140",0,"many thanks bronzeville greektown sending angela hot apple cider harm hospi"
"141",1,"believe help jules egg nog lattes available"
"142",1,"warm toasty watiki spice proudl"
"143",-1,"sunday november boycott"
"144",-1,"forming base low risk setup fyi buys india"
"145",-1,"dear sucks syrup countries please gingerbread"
"146",0,"value ignoring tweet time fin"
"147",0,"story life set walk rains comes calories"
"148",0," season"
"149",0,"thanks definitely stay bed day favourite type delivery"
"150",0,"brew home verismo sale"
"151",-2,"life short cheap bad sunday"
"152",2,"thank lalita dlf mall india exemplary service getting festive hamper"
"153",0,"check mug  virginia bean via"
"154",0,"sit regular week"
"155",1,"sunday treat fams awesome sunday"
"156",0,""
"157",3,"thank lalita dlf mall india exemplary service getting festive ham"
"158",0,"merrion reopens tomorrow"
"159",-1,"listen conquer anxiety grandpa jim"
"160",0,"vegan customers choice vegan options"
"161",0,"sbux enters downtrend momentum indicator dropped level october view odds"
"162",1,"beautiful product naming name motto"
"163",0,"hit caffeine marina"
"164",1,"reward day black alabastrine"
"165",2,"offer exclusive usa receive worth answer easy questions enter competition"
"166",0," blend capsules sainsburys"
"167",1,"welcome weekday started west covina"
"168",0,"ak_outlet line annywawony"
"169",0,"ak_outlet line annywawony"
"170",1,"share check items loving"
"171",1,"sedapnyaaa hot whipped cream yummy"
"172",0,"can toffee nut season"
"173",0,"hope brings gingerbread"
"174",0,"seriously stop supporting consistently promoted hate racism"
"175",-1,"okay mocha frappuccino bomb reccomend"
"176",1,"share check items loving"
"177",0,"whyyyyyy louis whyyyyy"
"178",1,"share check items loving"
"179",1,"share check items loving"
"180",0,"telling supervisor dream"
"181",1,"love"
"182",0,"java chips mocha praline choc cream chips green tea"
"183",0,"berry berry cheesecake frappuccino blended cream started usual lunch"
"184",0,"whip hold please extra whip cold happy halloweenie"
"185",0,"start november morning"
"186",1,"happy halloween"
"187",1,"share check items loving"
"188",1,"come join hop jaynetownsley chance win"
"189",-1,"guys scariest happened pumpkin"
"190",-1,"feel wrath devin"
"191",1,"come join hop chance win"
"192",1," reply stars free transferred ignored"
"193",0," venti fit"
"194",0," run"
"195",0,"run"
"196",1,"come join hop chance win"
"197",1,"happy halloween favourite baristas"
"198",1,"come join hop chance win"
"199",-1,"difference light dark roast beans healthier via"
"200",-1,"congrats kate wait watch level"
"201",1,"share check items loving"
"202",0,"electro donuts chatswood south wales australia"
"203",2,"sukis happy day cute true"
"204",1,"today dogs birthday course puppachino pretty"
"205",0," season"
"206",1,"come join hop chance win"
"207",0,"check set marked shot glasses via"
"208",0,"dog tone mug shop"
"209",1,"cutest baristas mini photoshoot inside favorite night"
"210",1,"else excited bringing beetle juice original actor"
"211",0,"early  season starts"
"212",0,"app buy egift cards using mastercard egc"
"213",0,"caramel frap seen"
"214",0,"check set marked shot glasses via"
"215",0,"check set marked shot glasses via"
"216",-1,"near disappoint time time"
"217",1,"happy halloween cambridge"
"218",1,"share check items loving"
"219",1,"celebrate halloween caramel skull"
"220",0,"thnxs krista"
"221",0,"nearly quarter retail placed phone"
"222",0,"nearly quarter retail placed phone"
"223",0,"get jack skellington frappuccino baristas"
"224",1,"happy halloween crew check cutest psl"
"225",1,"share check items loving"
"226",1,"share check items loving"
"227",-1,"check  world tumbler snowman  limited"
"228",1,"heaven"
"229",1,"happy halloween time extreme caffeine"
"230",0,"daughters future husband cut"
"231",1," superhero support card unique shirts"
"232",1,"happy halloween"
"233",1,"come join hop chance win"
"234",-1,"pandemic missed deliberately misspell name home"
"235",1,"welcome bgh rista started"
"236",0,"even pirates"
"237",0,"siren"
"238",0,"venti fit"
"239",0,"caramel brle"
"240",1,"guys paid everyones thank"
"241",-1,"shop broken maker business model"
"242",0,"now timmys mcdonalds kinds world"
"243",-1,"candy corn cold brew"
"244",0,"dig little deeper tiana matcha "
"245",2,"thank wonderful person paid hulls corner startbucks yesterday afternoon"
"246",1,"come join hop chance win"
"247",1,"happy halloween tried pumpkin chai jack skellington frap chance"
"248",-1,"wait copycats try"
"249",1,"come join hop chance win"
"250",0,"posted"
"251",1,"hey answer toasted white chocolate mocha hot frap"
"252",1,"happy halloween"
"253",0,"millie lion vash liontamer vash ability manage sister"
"254",1,"favorite brand"
"255",1,"looks ready"
"256",0,"siren"
"257",1,"thanks engaging zoom authors study lot storm"
"258",1,"happy halloween time extreme caffeine"
"259",0,"ceramic tumbler mug seattle pike travel unused via"
"260",1,"happy halloween"
"261",0,"arabian edition"
"262",1,"happy halloween normally devoured weight pumpkin spice lattes"
"263",0,"sale dishwash"
"264",0,"caffeine simple venti blonde roast"
"265",0,"mask"
"266",1,"fun"
"267",0,"pumpkin spice house"
"268",0,"reunited feels bagels bucks bestie house bagels"
"269",0,"stopped offering"
"270",0,"tried chai tea cal realize halfway chair tea"
"271",0,"hot cocoa mix chilly nights rebate till"
"272",1,"come join hop chance win"
"273",1,"share check items loving"
"274",-1," candy corn cold brew"
"275",1,"extra hot skinny chai course shot pumpkin thank"
"276",1,"dressed nurse smile"
"277",-1,"bad"
"278",0,"hey time"
"279",1,"come join hop chance win"
"280",-1,"mngmt fail months serving short puppaccinos staff told sampler"
"281",-1,"spooky sbux fam"
"282",0,"hocus pocus frapps winifred mary sarah"
"283",1,"happy halloween"
"284",-1,"halloween murder"
"285",-1,"check  world tumbler snowman  limited via"
"286",0,"check  stainless togo tumbler lid  limited red via"
"287",-1,"check  mug pink  limited siren logo via"
"288",-1,"check  mug whip lid xmas limited pink insulation via"
"289",0,"check  snow globe tumbler bearista pink  via"
"290",1,"check japan anniversary stainless tumbler pink siren via"
"291",0,"check japan anniversary tumbler siren motif via"
"292",0,"check stainless togo  tumbler matte black lid japan via"
"293",0,"check stainless togo  tumbler matte white lid japan via"
"294",0,"check undefeated collaboration ring pouch set sports culture via"
"295",0,"check undefeated collaboration tote bag sports culture via"
"296",0,"morning drive thru window shut cars"
"297",-1,"check collection mug autumn japan limited fuji via"
"298",1,"share check items loving"
"299",0,"everybody scene"
"300",0,"birthday"
"301",2,"happy halloween celebrate finding pod"
"302",1,"biggest supporter"
"303",-1,"candy corn cold brew"
"304",0,"daughter caramel frappuccino ole days"
"305",-1,"keto shake recipe peanut butter chocolate keto frapp"
"306",0,"grab"
"307",1,"come join hop chance win"
"308",1,"come join hop chance win"
"309",0,"check sophie rebecca video"
"310",0,"sale tall  rising"
"311",1,"happy halloween time extreme caffeine"
"312",0,"low calorie thread"
"313",1,"happy halloween normally devoured weight pumpkin spice lattes"
"314",-1,"drive thru lone cars deep car line beat orde"
"315",1," favorite mine"
"316",0,"lace looking kinda sus"
